@RELATION teste2

@ATTRIBUTE value1 NUMERIC
@ATTRIBUTE value2 NUMERIC
@ATTRIBUTE value3 NUMERIC
@ATTRIBUTE class  {1,2,3}

@data
3.7247807,3.4045408,1.2536579,1
4.9020441,-6.4659433,-0.6267025899999999,3
-0.80038358,4.6404437,6.1716494,2
-2.7558804,-0.10330387,5.4136277,2
1.1525558,-1.1312744,5.5322686,1
-2.1353895,5.0054335,4.7788613,2
5.2870569,-4.0022533,-2.4926818,3
3.7714388,1.3675055,-0.95366571,1
3.9740723,-7.6461149,1.4803604,3
4.7853718,-5.4463063,-9.632092099999999,3
-2.202975,2.8984126,10.427554,2
3.9053108,-7.5720234,-3.4972716,3
6.3816672,-6.5948586,-2.1398564,3
-1.4507832,0.039288398,2.7536576,2
5.3882145,-4.6350722,-4.1928414,3
5.2875023,-5.3494903,-3.0349697,3
3.2719636,-7.7120934,-1.805866,3
5.8284249,-4.3137533,-1.4862945,3
-2.8703655,2.9996317,6.5721572,2
-1.7471788,2.8232301,6.568669,2
3.8045774,0.85909934,2.3936062,1
5.3463019,-8.0918615,-0.3280125,3
-1.9896291,2.3577299,4.1536935,2
-1.8685696,6.8784751,8.0882302,2
4.6432628,-5.1877596,-4.7221877,3
2.2468295,0.17153189,6.1088937,1
2.508123,-2.1867863,1.8765456,1
0.0060077635,4.0122076,2.5033589,2
3.3779938,2.3974263,6.3150832,1
4.8032442,-7.9750245,0.66722026,3
-0.925582,3.1987482,1.4749862,2
3.4906637,4.4327444,-2.3121272,1
3.7745423,1.6094246,-1.2752215,1
4.3909038,-7.0228051,-0.0097050048,3
3.0966191,4.7063588,10.195537,1
4.8327306,-10.467753,-3.8096987,3
5.1271413,4.4317605,3.0554419,1
2.6574652,1.3276917,2.5888687,1
-1.5226968,1.452183,1.6283458,2
-2.6148875,2.5058423,7.8241534,2
2.9166924,4.6554722,4.560896,1
1.0224446,-1.0911786,3.323829,1
-2.1546371,1.6872938,4.9569587,2
-2.2029791,5.3757316,7.7058722,2
-2.5995025,0.72229999,4.3543174,2
4.5955475,3.5740385,1.7626079,1
-1.1624967,3.4980461,2.9436134,2
-0.69079723,3.4851837,2.6413866,2
3.9657989,-5.8288306,-0.73464447,3
-2.6305362,2.8403983,3.0449039,2
-1.8609842,2.5508222,8.4023149,2
-2.6086174,2.1242804,6.978427,2
-1.6373722,4.3945917,-0.39263657,2
1.3737002,1.2689074,6.4747054,1
5.9004157,-8.3089084,-5.6145626,3
4.6067897,-5.7017096,-5.8536074,3
-0.50177033,2.9424345,3.2960859,2
4.2308012,-9.1254904,-6.8886684,3
2.3170835,5.0189061,4.7508003,1
3.3396568,4.6448221,-0.58941822,1
-1.6391538,1.2606593,1.1351645,2
5.6719006,-2.5298825,-6.736784,3
4.1585426,-9.226307200000001,-5.5995046,3
6.0808776,-6.5057412,-3.9854512,3
4.9817369,3.7775506,-3.8490422,1
7.7778831,-5.0075715,-4.0818377,3
5.8014377,-6.8948842,-3.2846828,3
-1.1943557,3.7356989,8.0867825,2
3.6157524,4.6118874,-1.6637797,1
5.7440633,-3.6278362,-4.668825,3
6.6848451,-5.0553758,-8.490508999999999,3
3.4625962,3.5862187,-0.53930529,1
3.909862,-6.5817539,0.056870802,3
-1.355553,0.9323035200000001,5.1358848,2
5.7665865,-5.9871281,-6.2196735,3
6.55398,-7.2952464,-5.3995553,3
2.9990257,2.2314669,0.10181282,1
4.7018996,-7.5247781,-4.423917,3
2.6188395,2.1296499,3.0233322,1
2.8061638,3.8166118,1.4416355,1
3.5048937,3.0060265,-0.64960243,1
-1.4799477,3.314262,3.1192765,2
-2.757371,0.84728952,9.9542176,2
3.2478086,0.47150108,2.7103006,1
2.5095506,0.2872196,4.209306,1
2.1895512,0.20740974,6.9324335,1
1.9738597,0.5832602099999999,3.3574571,1
5.8476964,-7.8241272,-5.7327834,3
3.8080901,6.633255,0.8003446,1
3.6505785,2.4738724,1.0247718,1
4.3743802,-5.6547609,-8.488836900000001,3
4.546825,8.4199261,-0.21747877,1
-1.8508976,2.4776214,8.1899528,2
3.5907882,-2.4165806,1.2708048,1
3.6368104,2.3827416,-0.55295494,1
3.5534514,2.6366599,-2.6565062,1
-2.9199573,-1.0360579,3.5425229,2
4.9828155,-7.5501535,-8.3906183,3
3.6325576,4.5927829,-3.5063313,1
2.7998158,5.5314644,-1.5599749,1
5.7967398,-3.7706394,-3.1314333,3
5.2256725,-8.4074192,-3.5515821,3
-2.6108903,0.07108568899999999,1.1649262,2
3.3808421,-3.0386583,0.76670015,1
4.5441017,-8.164183400000001,0.011032004,3
3.4873804,1.5264866,-0.71218151,1
3.6254959,2.8381445,0.9774243,1
3.8740401,-0.89582525,4.2667794,1
2.5142908,5.8188712,3.8370514,1
3.8493674,-6.2470466,-2.7817976,3
5.8446642,-8.081977,-9.828697999999999,3
4.9375597,3.1503267,-1.4254425,1
-2.6139631,4.3317896,5.774228,2
3.6041125,2.2536944,2.415423,1
-2.4334688,4.8754089,4.8255912,2
4.8086891,-5.2601475,-7.2668373,3
3.6896309,-8.574047800000001,2.4165418,3
6.8481455,-2.9216267,-7.6025889,3
2.8384642,0.68178753,-0.2839271,1
5.7371843,-6.0136865,1.3056933,3
4.1317275,-8.2193793,-4.7867063,3
-2.583422,1.3706418,4.2953511,2
5.2007202,-5.9338975,-5.3485442,3
4.9484084,-7.5800448,-0.15095864,3
3.448062,4.7908262,-7.1273558,1
-2.8964075,2.5378701,0.60171279,2
4.2490049,-4.8019811,-1.6696905,3
5.8386641,-3.7771655,-1.1530423,3
3.7732471,4.0350617,0.68647939,1
-1.9684055,0.52545886,2.5851582,2
-2.7285298,2.8846427,8.5232773,2
-1.1939877,1.7779905,2.6138945,2
3.5379459,0.69625578,-3.4384166,1
5.6336714,-6.046201,-4.5903966,3
5.3753189,-5.7304037,-1.6539894,3
3.8693087,-6.1412467,-2.3079479,3
4.7497543,-3.5105616,-2.3188655,3
1.0313242,-4.8566717,-1.2349439,3
5.3569104,-7.4457394,-2.9055698,3
6.4483549,-4.2711294,-0.84759887,3
5.5686654,-4.1360268,-3.6615139,3
1.8250308,0.57329554,2.6802765,1
3.431376,-6.7178303,-6.5209606,3
5.448323,-6.3487371,-6.9450267,3
-2.1102725,1.7849957,1.7992423,2
4.9402546,-7.811746,-2.0950542,3
6.6115926,-4.6975848,-6.7265567,3
-1.9928666,-0.39409926,2.7459862,2
1.1439525,-0.75124842,5.2312498,1
2.8560998,3.4543242,1.681469,1
-0.98767369,4.8661042,9.084634400000001,2
5.1162628,-6.3435593,-1.5500008,3
4.2843665,-6.041811,-6.2190672,3
6.2694728,-3.7093858,-5.5178747,3
-0.56583647,3.5580585,5.212089,2
1.8806606,-0.44101556,-0.10039861,1
-1.0221889,3.5802314,5.1971148,2
5.73599,-5.6371821,-5.8156495,3
5.8121054,-2.9313724,-4.6774118,3
-3.01096,0.020155029,0.35932004,2
-1.5045697,4.0670803,4.4544079,2
3.4182157,1.9525964,2.5712985,1
2.3276261,0.15860771,2.6067165,1
7.3210081,-5.3661098,-5.5729215,3
3.3728898,-11.148574,-4.0805807,3
3.9938749,3.0324688,-0.26508782,1
-1.4375493,5.8553559,4.4168597,2
5.8391269,-6.4580788,-5.6276496,3
-1.7723043,3.5113756,10.105291,2
-2.731637,1.2132326,10.735434,2
-0.44416547,0.237475,5.2935192,2
2.8352224,1.6046075,4.1915834,1
-0.5146133899999999,3.4984272,6.2490564,2
-2.1194444,2.7489402,6.1700074,2
3.0677256,0.61210429,-0.74259028,1
2.1691051,2.6789336,3.0315326,1
5.2279338,2.1978389,-4.0381949,1
-1.5010876,4.6410879,3.6195356,2
4.8717718,-3.4561986,-4.4896155,3
4.0432257,4.2199429,0.82490513,1
4.467555,-6.5825017,-8.377493299999999,3
3.6687856,3.4203571,-3.2886564,1
3.5431399,-6.9942855,-2.109115,3
2.8598196,2.2597578,-0.8067809500000001,1
4.0185512,0.85206501,3.3261999,1
2.5728131,2.6439126,5.4994396,1
2.7225552,-0.33763545,0.23495921,1
-2.0511297,1.4672966,3.2976761,2
2.3325847,4.8873187,4.8578978,1
4.5707108,-3.4898803,-4.4913971,3
4.1225107,-3.4934493,-1.118677,3
4.6909666,4.6290787,0.017847463,1
3.4685022,-6.6841017,-1.228075,3
-3.702303,2.5516615,1.1924831,2
5.8784595,-4.9917116,-2.0327456,3
-1.9980539,1.8941077,4.1621494,2
3.2845844,3.0479906,1.4628257,1
5.1068054,-9.474716799999999,-5.8949084,3
2.6667311,4.0639632,-5.7970161,1
-2.3820221,0.9527461699999999,7.2157366,2
3.4295448,1.699356,-4.2555661,1
4.2362829,4.1159725,1.3597691,1
-1.0256649,1.1753515,2.9678377,2
6.0435139,-2.9193151,-5.6158829,3
1.6386332,1.3981917,-0.43342042,1
1.6762786,0.89072268,4.1944834,1
5.1100409,-7.0845964,-3.0534146,3
2.239636,-0.67032727,-0.042624886,1
-1.2673758,1.2647154,3.4815686,2
2.9930442,-6.5257855,-0.81957345,3
4.0535062,-6.9143403,-8.9715747,3
5.7358641,-5.7396509,-3.4564742,3
4.6817121,4.9350719,2.1549524,1
1.8204816,1.1476491,6.8146861,1
-1.1407467,5.6297797,5.1614477,2
-2.3939763,2.0991227,2.3783401,2
1.5975087,-2.0065443,-0.89057898,1
-1.5018631,1.9179187,-0.1230884,2
-3.4953564,-1.7559004,5.0966035,2
3.0762533,-0.8713525600000001,0.36351017,1
5.268745,-4.5537269,-2.3429305,3
6.8147228,-3.4819233,-0.083250823,3
-2.8003759,2.636943,8.412529599999999,2
4.5949166,2.3357194,-4.3969203,1
4.5378531,5.0394494,-2.8116839,1
4.0633076,-3.1068288,-0.57000984,3
3.4421138,3.5502025,-0.64647862,1
2.3381452,0.65740654,-4.850625,1
2.0648713,-1.0546065,2.4538934,1
5.9118423,-5.8227587,-6.2021267,3
-2.2322639,-0.42436979,0.95065512,2
3.4974888,-7.0004065,-2.7387673,3
4.9693467,-6.2460883,-4.6537251,3
6.0333599,-5.7380145,-6.8963716,3
2.20952,3.6563515,1.5755155,1
6.2068706,-3.8524573,-2.4038467,3
4.6207778,-9.1688191,-6.3381856,3
3.4093132,4.0389219,-3.8646945,1
2.0711604,2.3238834,6.1891214,1
5.5905427,-6.5141913,-4.487444,3
4.3621342,3.0419774,-5.6703709,1
2.2148846,1.489459,5.2392588,1
-3.3246781,3.7391278,6.2687419,2
4.4572691,-5.9434447,-2.2071622,3
4.1325628,3.4251624,3.5646418,1
4.8846619,-9.3315848,-4.3336405,3
-2.6467396,-1.5671878,1.390336,2
-1.1969286,1.3189778,6.7354937,2
4.1655186,2.5699418,3.2694191,1
6.3924468,-4.8801307,-6.0657098,3
2.1635994,2.7468281,4.0226231,1
5.2424259,-5.8941771,-5.1209783,3
3.8507015,3.9305771,-4.4670687,1
2.5777788,3.0146035,0.13477965,1
-2.2015231,5.8880769,1.8755778,2
-2.0629992,1.5857075,7.6021021,2
-1.9806951,4.4912518,9.119075,2
2.8723032,-0.06470688500000001,0.64164276,1
1.1477666,4.0517337,-0.60184452,1
-2.2661471,2.2763333,2.3661925,2
-0.33440513,3.5644295,3.0406236,2
3.7372261,0.37620146,-3.00532,1
-1.9361174,1.2631148,4.5486484,2
-1.3950357,4.7833101,12.135857,2
5.6245456,-5.3973395,-1.9871177,3
-2.0277367,2.5983475,4.5528189,2
1.8453551,1.8787195,-2.2743432,1
5.0940305,-8.4403992,-5.9536821,3
3.7542062,5.6551843,1.2007613,1
6.3333454,-3.487205,-11.537203,3
4.3863696,-8.4336509,-1.0945386,3
5.9676767,-5.7726757,-6.2731992,3
6.2184738,-6.9521967,-9.006978399999999,3
4.0642539,-3.338491,-1.4513131,1
3.5771886,3.3304962,-0.90695582,1
2.1779236,-0.023664896,2.5985148,1
4.6223123,-3.7671345,-3.0688651,3
1.3504304,-2.1074043,-0.51884489,1
-1.9867218,5.7286728,1.9200187,2
-2.277147,-0.073736048,2.0718965,2
4.8576132,-6.4094097,-5.765712,3
2.7991075,4.7186005,0.97256108,1
3.777759,2.1812236,0.90159292,1
-1.4830386,-0.2085707,6.4309319,2
5.5467157,-7.7279956,-1.7975365,3
4.8451356,-8.0348647,-0.25422231,3
3.6816819,2.1550452,-2.2173092,1
4.9698275,-4.8890468,-1.9526475,3
4.5895764,3.1940067,-3.2131778,1
4.0129906,5.237632,0.54460588,1
2.4266794,3.0763399,1.8372383,1
3.1725071,1.9537564,1.2890568,1
4.348282,3.933491,-4.4352264,1
2.3233224,-0.72317905,-0.32578514,1
3.2645241,1.5990382,-0.15334695,1
2.5368535,-1.1985794,0.63524068,1
5.247207,-6.6773401,-9.215218500000001,3
1.3875308,-0.60010751,0.36369634,1
-0.95414559,5.1243844,7.2015476,2
-0.5318317299999999,2.0126586,2.5836398,2
-1.6281325,0.76803815,9.387282300000001,2
-2.0184795,0.62484762,4.8138947,2
-2.4290703,0.5817224,4.6141521,2
2.8751954,5.194247,-0.31114689,1
-2.1385158,5.1368143,8.347487299999999,2
-0.88788737,2.9482449,6.93104,2
2.6760393,2.1997747,2.8878869,1
-1.3923425,0.72237542,5.3809945,2
4.8549583,-7.1523134,-8.0023137,3
-4.7295297,-0.39135711,11.075602,2
1.7998754,-1.1533059,-4.0802759,1
3.8039715,3.5145559,5.8006651,1
5.2175809,-7.7711115,-1.3030798,3
2.5524055,1.8146385,5.9558384,1
5.3287578,-5.5592546,-1.2966979,3
-1.6343273,-0.17741116,4.0540403,2
6.1544752,-6.4062803,-0.91304867,3
5.1406929,-8.644818300000001,-2.9518564,3
-2.4630978,2.6105643,5.9574356,2
1.3829768,1.5875875,0.44456199,1
-1.6734483,6.6918933,8.220707600000001,2
5.0841289,-6.5027109,-2.1479084,3
4.1234959,-7.2174928,-2.3469263,3
5.3636876,-9.7281517,-3.5488852,3
3.2941966,1.7773611,0.16741414,1
3.0208722,2.590798,0.41018321,1
2.6931964,0.10101387,1.7164316,1
-4.8555435,1.4878686,9.7085554,2
-0.44035722,3.3700906,2.032225,2
-1.957335,2.5376958,7.0404197,2
4.7753984,-3.6198712,-1.6933568,3
6.5981106,-4.6885995,-5.4610655,3
3.9460304,-10.753627,-2.1939677,3
-1.1833657,5.015198,1.8612497,2
3.3495923,1.7560588,-3.1423611,1
